TimeOpen,Open,High,Low,Close,H2,HLC3,OHLC4,DateTime
1503014400000,4285.08,4371.52,3938.77,4108.37,4155.145,4139.553333333333,4175.935,2017-08-18
1503100800000,4108.37,4184.69,3850.0,4139.98,4017.345,4058.223333333333,4070.76,2017-08-19
1503187200000,4120.98,4211.08,4032.62,4086.29,4121.85,4109.996666666667,4112.7425,2017-08-20
1503273600000,4069.13,4119.62,3911.79,4016.0,4015.705,4015.803333333333,4029.135,2017-08-21
1503360000000,4016.0,4104.82,3400.0,4040.0,3752.41,3848.273333333333,3890.205,2017-08-22
1503446400000,4040.0,4265.8,4013.89,4114.01,4139.845,4131.233333333334,4108.424999999999,2017-08-23
1503532800000,4147.0,4371.68,4085.01,4316.01,4228.345,4257.566666666667,4229.925,2017-08-24
1503619200000,4316.01,4453.91,4247.48,4280.68,4350.695,4327.356666666667,4324.52,2017-08-25
1503705600000,4280.71,4367.0,4212.41,4337.44,4289.705,4305.616666666666,4299.389999999999,2017-08-26
1503792000000,4332.51,4400.0,4285.54,4310.01,4342.77,4331.85,4332.014999999999,2017-08-27
1503878400000,4310.01,4399.82,4124.54,4386.69,4262.18,4303.683333333333,4305.264999999999,2017-08-28
1503964800000,4353.65,4625.85,4313.55,4587.48,4469.700000000001,4508.96,4470.1325,2017-08-29
1504051200000,4564.52,4647.51,4416.01,4555.14,4531.76,4539.553333333333,4545.795,2017-08-30
1504137600000,4555.14,4745.42,4555.14,4724.89,4650.280000000001,4675.150000000001,4645.1475,2017-08-31
1504224000000,4689.89,4885.55,4654.88,4834.91,4770.215,4791.78,4766.3075,2017-09-01
1504310400000,4796.16,4939.19,4286.87,4472.14,4613.03,4566.066666666667,4623.589999999999,2017-09-02
1504396800000,4508.5,4714.76,4298.33,4509.08,4506.545,4507.39,4507.6675,2017-09-03
1504483200000,4505.0,4527.49,3972.51,4100.11,4250.0,4200.036666666667,4276.2775,2017-09-04
1504569600000,4106.97,4484.99,3603.0,4366.47,4043.995,4151.486666666667,4140.3575,2017-09-05
1504656000000,4366.49,4662.87,4335.26,4619.77,4499.0650000000005,4539.3,4496.0975,2017-09-06
1504742400000,4619.77,4788.59,4438.19,4691.61,4613.389999999999,4639.463333333333,4634.54,2017-09-07
1504828800000,4691.66,4735.39,4028.93,4282.8,4382.16,4349.04,4434.695,2017-09-08
1504915200000,4282.8,4426.62,4150.06,4258.81,4288.34,4278.496666666667,4279.5725,2017-09-09
1505001600000,4258.81,4283.0,3801.0,4130.37,4042.0,4071.4566666666665,4118.295,2017-09-10
1505088000000,4153.62,4334.43,4098.91,4208.47,4216.67,4213.936666666667,4198.8575,2017-09-11
1505174400000,4208.6,4394.59,4040.8,4163.72,4217.695,4199.703333333334,4201.927500000001,2017-09-12
1505260800000,4159.72,4165.38,3760.0,3944.69,3962.69,3956.69,4007.4475,2017-09-13
1505347200000,3944.0,3993.0,3165.13,3189.02,3579.065,3449.05,3572.7875000000004,2017-09-14
1505433600000,3188.01,3856.0,2817.0,3700.0,3336.5,3457.6666666666665,3390.2525,2017-09-15
1505520000000,3674.01,3950.0,3470.66,3714.95,3710.33,3711.87,3702.405,2017-09-16
1505606400000,3685.23,3748.21,3499.02,3699.99,3623.615,3649.073333333333,3658.1125,2017-09-17
1505692800000,3690.0,4123.2,3690.0,4035.01,3906.6,3949.403333333333,3884.5525,2017-09-18
1505779200000,4060.0,4089.97,3830.91,3910.04,3960.44,3943.64,3972.73,2017-09-19
