Day,Month,Year,TimeOpen,Open,High,Low,Close,H2,HLC3,OHLC4
17,8,2017,1502942400000,4261.48,4328.69,4261.32,4315.32,4295.004999999999,4301.776666666666,4291.702499999999
17,8,2017,1502949600000,4330.29,4349.99,4287.41,4349.99,4318.7,4329.13,4329.42
17,8,2017,1502956800000,4333.32,4445.78,4333.32,4444.0,4389.549999999999,4407.7,4389.105
17,8,2017,1502964000000,4441.1,4485.39,4399.81,4427.3,4442.6,4437.5,4438.400000000001
17,8,2017,1502971200000,4436.06,4459.0,4411.0,4459.0,4435.0,4443.0,4441.265
17,8,2017,1502978400000,4459.0,4485.39,4333.42,4352.34,4409.405000000001,4390.383333333334,4407.5375
17,8,2017,1502985600000,4352.33,4354.84,4235.45,4289.24,4295.145,4293.176666666667,4307.965
17,8,2017,1502992800000,4289.24,4335.3,4200.74,4325.23,4268.02,4287.09,4287.6275000000005
17,8,2017,1503000000000,4307.56,4369.69,4258.56,4333.55,4314.125,4320.599999999999,4317.34
17,8,2017,1503007200000,4333.55,4359.13,4280.82,4285.08,4319.975,4308.343333333333,4314.645
17,8,2017,1503014400000,4285.08,4340.62,4134.61,4243.59,4237.615,4239.606666666667,4250.975
17,8,2017,1503021600000,4251.95,4308.7,4234.0,4292.39,4271.35,4278.363333333334,4271.76
18,8,2017,1503028800000,4292.39,4340.62,4234.43,4313.56,4287.525,4296.203333333334,4295.25
18,8,2017,1503036000000,4313.56,4316.98,4247.75,4300.25,4282.365,4288.326666666667,4294.635
18,8,2017,1503043200000,4285.0,4327.25,4259.85,4304.15,4293.55,4297.083333333333,4294.0625
18,8,2017,1503050400000,4304.15,4371.52,4296.04,4340.31,4333.780000000001,4335.956666666668,4328.005
18,8,2017,1503057600000,4320.52,4340.31,4221.05,4293.09,4280.68,4284.816666666667,4293.7425
18,8,2017,1503064800000,4293.09,4293.09,4193.7,4236.89,4243.395,4241.2266666666665,4254.1925
18,8,2017,1503072000000,4234.54,4283.79,4066.53,4193.35,4175.16,4181.223333333333,4194.5525
18,8,2017,1503079200000,4171.17,4297.75,4015.7,4136.28,4156.725,4149.91,4155.224999999999
18,8,2017,1503086400000,4135.0,4135.0,3938.77,3975.69,4036.885,4016.486666666667,4046.115
18,8,2017,1503093600000,3996.92,4136.48,3938.77,4108.37,4037.625,4061.2066666666665,4045.135
18,8,2017,1503100800000,4108.37,4184.69,4084.28,4148.53,4134.485,4139.166666666667,4131.4675
18,8,2017,1503108000000,4148.53,4184.0,4103.52,4138.55,4143.76,4142.0233333333335,4143.65
19,8,2017,1503115200000,4138.5,4156.0,4027.83,4077.0,4091.915,4086.943333333333,4099.8325
19,8,2017,1503122400000,4077.0,4082.0,3933.21,4033.47,4007.605,4016.226666666667,4031.42
19,8,2017,1503129600000,4033.47,4082.25,3964.08,4068.2,4023.165,4038.176666666666,4037.0
19,8,2017,1503136800000,4054.0,4082.0,3850.0,3957.6,3966.0,3963.2,3985.9
19,8,2017,1503144000000,3945.12,4100.0,3928.89,4039.84,4014.445,4022.91,4003.4625
19,8,2017,1503151200000,4066.0,4068.31,3964.67,3972.05,4016.49,4001.676666666666,4017.7575
19,8,2017,1503158400000,4036.19,4049.69,3953.4,4027.37,4001.545,4010.153333333333,4016.6625
19,8,2017,1503165600000,4013.69,4103.92,4013.69,4076.12,4058.805,4064.5766666666655,4051.855000000001
19,8,2017,1503172800000,4088.71,4149.99,4051.47,4074.23,4100.73,4091.896666666666,4091.1
19,8,2017,1503180000000,4090.0,4141.0,4090.0,4139.98,4115.5,4123.66,4115.245
19,8,2017,1503187200000,4120.98,4139.98,4044.0,4082.53,4091.99,4088.8366666666666,4096.8725
19,8,2017,1503194400000,4096.33,4124.69,4082.62,4094.62,4103.655,4100.643333333333,4099.565
20,8,2017,1503201600000,4094.62,4142.16,4087.0,4117.41,4114.58,4115.5233333333335,4110.2975
20,8,2017,1503208800000,4117.41,4156.56,4081.19,4155.87,4118.875,4131.206666666666,4127.757500000001
20,8,2017,1503216000000,4155.87,4211.08,4032.62,4155.0,4121.85,4132.900000000001,4138.6425
20,8,2017,1503223200000,4140.0,4142.41,4080.0,4106.53,4111.205,4109.6466666666665,4117.235
20,8,2017,1503230400000,4106.53,4125.43,4063.35,4063.35,4094.39,4084.0433333333335,4089.665
20,8,2017,1503237600000,4096.32,4125.0,4068.5,4125.0,4096.75,4106.166666666667,4103.705
20,8,2017,1503244800000,4125.0,4150.0,4091.59,4129.0,4120.795,4123.53,4123.8975
20,8,2017,1503252000000,4129.32,4185.94,4116.0,4164.6,4150.969999999999,4155.513333333333,4148.965
20,8,2017,1503259200000,4161.59,4171.62,4116.0,4150.0,4143.81,4145.873333333333,4149.8025
20,8,2017,1503266400000,4162.59,4171.62,4069.13,4086.29,4120.375,4109.013333333333,4122.4075
20,8,2017,1503273600000,4069.13,4119.62,4062.78,4094.6,4091.2,4092.3333333333335,4086.5325
20,8,2017,1503280800000,4094.6,4109.26,4039.0,4084.76,4074.13,4077.6733333333336,4081.905
21,8,2017,1503288000000,4079.26,4104.68,4011.02,4016.9,4057.85,4044.2,4052.965
21,8,2017,1503295200000,4011.04,4055.92,3953.4,4043.63,4004.66,4017.65,4015.9975
21,8,2017,1503302400000,4043.63,4077.07,4010.78,4074.0,4043.925,4053.95,4051.37
21,8,2017,1503309600000,4066.0,4088.12,4000.01,4023.11,4044.065,4037.08,4044.31
21,8,2017,1503316800000,4023.11,4023.11,3934.43,3951.49,3978.77,3969.676666666666,3983.035
21,8,2017,1503324000000,3914.59,4023.11,3911.79,4022.0,3967.45,3985.633333333333,3967.8725
21,8,2017,1503331200000,4005.99,4029.06,3951.26,4016.2,3990.16,3998.84,4000.6275
21,8,2017,1503338400000,3997.57,4042.11,3918.8,4027.05,3980.455,3995.986666666666,3996.3825
21,8,2017,1503345600000,4027.05,4070.49,3950.0,4039.1,4010.245,4019.863333333333,4021.66
21,8,2017,1503352800000,4039.1,4041.23,3987.5,4016.0,4014.365,4014.91,4020.9575
21,8,2017,1503360000000,4016.0,4016.0,3688.97,3700.0,3852.485,3801.6566666666654,3855.2425
21,8,2017,1503367200000,3700.0,3862.39,3689.0,3862.39,3775.695,3804.593333333333,3778.445
22,8,2017,1503374400000,3863.0,3868.57,3400.0,3626.99,3634.285,3631.853333333333,3689.64
22,8,2017,1503381600000,3619.95,3854.46,3619.95,3798.08,3737.205,3757.4966666666655,3723.11
22,8,2017,1503388800000,3798.08,3920.31,3750.08,3904.56,3835.195,3858.316666666666,3843.2575
22,8,2017,1503396000000,3904.56,3905.56,3826.12,3866.48,3865.84,3866.053333333333,3875.68
22,8,2017,1503403200000,3866.48,3990.12,3853.53,3920.99,3921.825,3921.5466666666666,3907.78
22,8,2017,1503410400000,3874.38,3921.63,3786.81,3858.23,3854.22,3855.556666666667,3860.2625
22,8,2017,1503417600000,3858.23,3998.99,3853.47,3943.0,3926.23,3931.82,3913.4225
22,8,2017,1503424800000,3944.0,4104.82,3944.0,3984.24,4024.41,4011.02,3994.265
22,8,2017,1503432000000,3984.5,4061.54,3946.67,3946.67,4004.105,3984.960000000001,3984.845
